County,Sex,Census Year,Statistic,value
State,Both sexes,1841,Population at Each Census from 1841 to 2016 (Number),6528799
State,Both sexes,1851,Population at Each Census from 1841 to 2016 (Number),5111557
State,Both sexes,1861,Population at Each Census from 1841 to 2016 (Number),4402111
State,Both sexes,1871,Population at Each Census from 1841 to 2016 (Number),4053187
State,Both sexes,1881,Population at Each Census from 1841 to 2016 (Number),3870020
State,Both sexes,1891,Population at Each Census from 1841 to 2016 (Number),3468694
State,Both sexes,1901,Population at Each Census from 1841 to 2016 (Number),3221823
State,Both sexes,1911,Population at Each Census from 1841 to 2016 (Number),3139688
State,Both sexes,1926,Population at Each Census from 1841 to 2016 (Number),2971992
State,Both sexes,1936,Population at Each Census from 1841 to 2016 (Number),2968420
State,Both sexes,1946,Population at Each Census from 1841 to 2016 (Number),2955107
State,Both sexes,1951,Population at Each Census from 1841 to 2016 (Number),2960593
State,Both sexes,1956,Population at Each Census from 1841 to 2016 (Number),2898264
State,Both sexes,1961,Population at Each Census from 1841 to 2016 (Number),2818341
State,Both sexes,1966,Population at Each Census from 1841 to 2016 (Number),2884002
State,Both sexes,1971,Population at Each Census from 1841 to 2016 (Number),2978248
State,Both sexes,1979,Population at Each Census from 1841 to 2016 (Number),3368217
State,Both sexes,1981,Population at Each Census from 1841 to 2016 (Number),3443405
State,Both sexes,1986,Population at Each Census from 1841 to 2016 (Number),3540643
State,Both sexes,1991,Population at Each Census from 1841 to 2016 (Number),3525719
State,Both sexes,1996,Population at Each Census from 1841 to 2016 (Number),3626087
State,Both sexes,2002,Population at Each Census from 1841 to 2016 (Number),3917203
State,Both sexes,2006,Population at Each Census from 1841 to 2016 (Number),4239848
State,Both sexes,2011,Population at Each Census from 1841 to 2016 (Number),4588252
State,Both sexes,2016,Population at Each Census from 1841 to 2016 (Number),4761865
State,Male,1841,Population at Each Census from 1841 to 2016 (Number),3222485
State,Male,1851,Population at Each Census from 1841 to 2016 (Number),2494478
State,Male,1861,Population at Each Census from 1841 to 2016 (Number),2169042
State,Male,1871,Population at Each Census from 1841 to 2016 (Number),1992468
State,Male,1881,Population at Each Census from 1841 to 2016 (Number),1912438
